time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448950000	19.3854	16.1751	4.61127	2.05615	0.559741	radar	1.77675	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.276	16.3529	4.56257	2.0862	0.561794	lidar	0.441938	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1628	16.5445	4.54806	2.11546	0.5648	radar	0.227035	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0235	16.7672	4.62472	2.14653	0.567819	lidar	0.358993	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8678	16.9591	4.62414	2.20488	0.627244	radar	6.7799	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6783	17.2151	4.81389	2.24236	0.633553	lidar	2.11342	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5773	17.4171	4.79709	2.22828	0.550009	radar	5.91163	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3533	17.6217	4.9175	2.2768	0.571046	lidar	3.79367	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2154	17.8147	4.91035	2.28113	0.524838	radar	2.36442	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0873	17.9961	4.86171	2.29745	0.515016	lidar	0.954347	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9128	18.1497	4.82549	2.34004	0.544457	radar	2.00377	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7923	18.2806	4.68927	2.36113	0.538533	lidar	1.05755	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6632	18.4573	4.657	2.36878	0.511768	radar	6.6334	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4584	18.6489	4.76038	2.39741	0.514614	lidar	0.572357	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2808	18.7876	4.72855	2.43188	0.529334	radar	1.73574	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1243	18.9193	4.65994	2.45652	0.527656	lidar	0.254265	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9569	19.0897	4.67442	2.46886	0.507564	radar	3.08775	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7369	19.2083	4.69211	2.50927	0.522594	lidar	2.70325	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
